,JobId,job_descriptions,job links,job titles,Posted By,Posted Time,Employement Status,Location
0,0,"Posted by
Talha Imtiaz
Senior Corporate Recruiter @ TCP Software | We are hiring! 💥🚀 Software Engineering Manager - Lahore | Principal Level Frontend and Backend Devs | Full Stack Developers (.Net & Angular) | Business Intelligence
Send InMail
Responsibilities:
Resolving bugs and development of new features;
Development of internal tools;
API support;
Communication and cooperation with our Support and Development teams;
Communication with customers.
Requirements:
Working experience with Symfony PHP, JavaScript, SQL;
Strong problem solving skills;
Excellent knowledge of English (both written and spoken);
Solid testing and debugging skills;
Strong communication and interpersonal skills;
Good organizational and time management skills;
Familiarity with JIRA;
Familiarity with Github.
Bonus skills:
Experience with Object Oriented PHP, Symfony, React, using REST services and MongoDB;
Previous experience working on SaaS projects;
Familiarity with Scrum methodology or other agile development processes.",https://www.linkedin.com/jobs/view/3123485547/?eBP=CwEAAAGBh8gEsMSIW_vPtdj_TzXE8jwAUrt627Y_2KHv3wIz8grt6qV0GJcgkxdtODa0c-NsqT8wND4QNnl6dnGZHSSuBcuhZ_CJCO3qzTCEZ93mFKt2fHENVo3v57Du6bjOF4GhSVahqMqcKp62kyAYwWjTf6bFKqKBh6EgRNfzkz3TD7vLY0jbXwrfXr6a4qg5EEl4eP4hJTBbqqtUOEAhnSn6I70HaI8GsbLv1LYkZsepnPAE_nT7vguAXpLpjPQKl4HFX1wXx2lev62DzciWXEt8U9dUoO0666mMynqsIUT8wz1anyaxnxHqm68OtV5zr10TSabFd85R5MWQhYFNRsPm6ceYKsKTW_Z7B_pB406k8Skqoxs7iBAYnwWM-_oWPg&recommendedFlavor=SCHOOL_RECRUIT&refId=vRvKb%2BAGfVHg1BKAAGPahg%3D%3D&trackingId=2d5MXBQNty0tBaOjeY9uaQ%3D%3D&trk=flagship3_search_srp_jobs,Sr. PHP Developer,TCP Software,3 days ago,Full-time · Mid-Senior level,"Lahore, Punjab, Pakistan"
1,1,"Posted by
Arshad Ali
Chief Executive Officer at Innobrains Technologies
We are looking for a PHP Developer responsible for managing back-end services and the interchange of data between the server and the users.

Your primary focus will be the development of all server-side logic, definition and maintenance of the central database, and ensuring high performance and responsiveness to requests from the front-end.
You will also be responsible for integrating the front-end elements built by your co-workers into the application.
Therefore, a basic understanding of front-end technologies is necessary as well",https://www.linkedin.com/jobs/view/3134435786/?eBP=JOB_SEARCH_ORGANIC&refId=vRvKb%2BAGfVHg1BKAAGPahg%3D%3D&trackingId=LFYrG2nqG7yR8Z63WmfB1Q%3D%3D&trk=flagship3_search_srp_jobs,Web Developer,Innobrains Technologies,41 minutes ago,Part-time,Pakistan
2,2,"We’re looking for an individual who has a strong work ethic, ability to take ownership and deliver with precision. Possess strong communication skills and the ability to be a team player within a remote team.

NOTE:
We're a Malaysian based company with international clientele. You will need to be flexible to suit different timezones.
This is a fulltime remote job opportunity. You need to be comfortable working remotely.
Working days are from Mon to Sat.
We are looking for an experienced person.

Ideal Candidate will have:
Proficiency in Laravel PHP framework (intermediate understanding of the framework is a HUGE plus)
Basic Concepts of OOP
Familiarity with database technology such as MySQL
Good problem-solving skills
Command line knowledge (e.g. ssh, git, etc.)

HUGE plus if you have:
Experience of working with Angular Framework (2+)
Experience of Front-End development using HTML5, CSS3 & SCSS, JSON, Responsive UI
PSD to HTML
Semantic UI
Bootstrap
Knowledge of recent developments in JavaScript e.g. ES8, ES9 etc..",https://www.linkedin.com/jobs/view/3134271438/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=vRvKb%2BAGfVHg1BKAAGPahg%3D%3D&trackingId=uBPIB0R9ZG8rSNHKUcJ%2FkA%3D%3D&trk=flagship3_search_srp_jobs,PHP Developer,Bitfoot Sdn. Bhd.,4 hours ago,Contract,Pakistan
3,3,"Posted by
Anum Aslam
HR Generalist | Talent Acquisition | Technical Recuriter| Head Hunter | Digital Marketer
Send InMail
About the job
HR Ways is a Tech Recruitment Company that helps candidates like yours, make it into world's & Pakistan's largest & Top Product platforms. With HR Ways, your recruitment process becomes seamless as we connect you with top employers for quick interviews and easier than ever on-boarding process. We also help you get the best deals and 360 Analysis of the company that you'd like to join. And oh, we recently placed Engineers in Emirates & Ebay!

About the company we're hiring for Currently:
Our Client Company provides digital solutions and services with the best user experience. Their services include software design, web development, mobile development, business intelligence, and software quality assurance.

They stands for Zone of Advanced Platforms and Tech Applications. They produces high-quality, scalable, secure, and cost-effective holistic lifecycle solutions to satisfy the needs of clients. They has a dedicated team that are experienced in offering long-term solutions for the difficulties that Their clients encounter across all areas. Their development team consists of Technology Specialists, UI Designers, UX Engineers, Programmers, Devops Experts, Business Analysts, Software Architects, QA Engineers, and Project Managers. As a software development company, They offers revolutionary applications and systematic services that span across a wide range of industries and geographical areas.

Company Strength: 40+
Job Role:
Have at least two years of professional experience in PHP/Laravel-based web apps development.
A solid understanding of application design using Laravel.
Knowledge of VueJS/ ReactJS would be a plus
Troubleshooting issues in the implementation and debug builds.
Working with front-end and back-end developers on projects.
Testing functionality for users and the backend.
Recording and reporting on work done in Laravel.
Maintaining web-based applications.
Presenting work in meetings with clients and management.
Laravel Developer Requirements:
Experience working with PHP, performing unit testing, and managing APIs such as REST.
Creating database schemas that represent and support business processes
Knowledge of database design and querying using SQL.
Proficiency in HTML and JavaScript.
Practical experience using the MVC architecture.
Proficient understanding of code versioning tools, such as Git

Experience: 2+ Years (6 Openings)
Work Mode: Inhouse
Salary: Upto 80k + Several Benefits
For More Jobs, visit www.hrways.co/jobs",https://www.linkedin.com/jobs/view/3133918267/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=vRvKb%2BAGfVHg1BKAAGPahg%3D%3D&trackingId=F7ptrBnCmPEgzs6w9ZJUxg%3D%3D&trk=flagship3_search_srp_jobs,PHP Developer,HR Ways - Hiring Tech Talent,2 hours ago,Full-time,"Lahore, Punjab, Pakistan"
4,4,"Posted by
Abdul Basit
Senior Shopify Developer
Send InMail
We are looking for a passionate, motivated WordPress Developer expert in custom theme & plugin development as well as Divi and Elementor, who is always eager to produce world-class work for premium clients

Job Responsibilities:

You will be responsible for building WordPress themes, plugins, and REST API(JSON or XML) using WordPress, PHP, MySQL, HTML, CSS, and JS.
Manage front-end and back-end website development.
Must have experience with Divi, Elementor, Visual Composer, etc.
Experience with customization of Gravity forms / ACF / Woocommerce etc.
Experienced with AJAX, JavaScript, HTML5 and CSS3
Experience with WordPress Hooks & Filters
Fully responsive website development
WordPress plugin development
Knowledge in Search Engine Optimization and Website Optimization
Ability to clearly understand design requirements
Planning, building and launching websites
Maintain well-documented, reusable, and transferrable code.
Attention to Pixels (a must!)
Git & JIRA (good to have)
SASS / LESS (good to have)
Experience creating end-user documentation for website applications
Self-motivator; able to grasp concepts quickly with minimal supervision, take ownership of problems and follow them through to completion
Articulate communicator who is able to present ideas in a written format that can easily be understood by others
Laravel experience is a plus point.


Average salary and compensation
The average salary for a WordPress developer is 40,000 to 60,000 PKR. Position salary will vary based on experience and education.

Qualified and Interested candidates to share their resumes via LinkedIn or at hr@nodeagency.co


Location & contact
Office address:
Al Syed Tower 1-Plaza, main boulevard phase-5 Ghouri Town, Islamabad

Contact # 03265332528
https://nodeagency.co/",https://www.linkedin.com/jobs/view/3136710574/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=vRvKb%2BAGfVHg1BKAAGPahg%3D%3D&trackingId=3cY4%2Bt0bJOOW4o37efOc7Q%3D%3D&trk=flagship3_search_srp_jobs,Wordpress Developer,Node,1 hour ago,Full-time,"Islamabad, Islāmābād, Pakistan"
5,5,"Posted by
Muhammad Mansab I
Head of Recruitment & Client Services at RightJobs.pk - [OFFICIAL]
Send InMail
The ideal candidate will efficiently and quickly write PHP in a timely and scalable way in order to improve the code-base of the company's products in meaningful ways. This candidate will be able to test the code and make adjustments where necessary. They should also be experience in contributing to the whole software design lifecycle.
Responsibilities
Write clean, well-designed code
Troubleshoot and test core product software to ensure strong optimization
Contribute to all phases of the development lifecycle

Qualifications
Bachelor's degree in computer science or related field
Experience in software development
Passion for best design and coding practices
Strong knowledge of relational databases, tools and PHP skills",https://www.linkedin.com/jobs/view/3129120719/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=vRvKb%2BAGfVHg1BKAAGPahg%3D%3D&trackingId=hJITj9%2B8WQ0kdX51j6N4hg%3D%3D&trk=flagship3_search_srp_jobs,Senior PHP Developer,Zepto Systems Limited,14 hours ago,Full-time,"Islamabad, Islāmābād, Pakistan"
6,6,"Posted by
Zenobia Javaid
Human Resources Manager at Kodex Technologies | Technical Talent Acquisition Specialist | Recruiter | Talent Hunting | HR Professional | Always Hiring Developers.
Send InMail
Kodex Tech is looking for an ideal candidate who is a highly resourceful and innovative developer with extensive experience in the layout, design, and coding of websites specifically in PHP Laravel. You must also possess a strong knowledge of web application development using PHP programming language and MySQL Server databases.

Degree in Computer Science from a reputable institution
2-3 years of experience working in a software house
Hands-on experience with MVC frameworks.
Proficiency in fundamental front-end languages such as HTML, CSS, Bootstrap, and JavaScript.
Familiarity with JavaScript frameworks such as Angular JS, React, and Amber.
Proficiency in server-side languages and Familiarity with database technologies.
Excellent verbal communication skills.
Strong problem-solving skills and OOP concepts.
Attention to detail

Other Technologies:

PHP (Laravel)
MySql
Java Script
AJAX
JQUERY
JSON
CSS
Preferable
Open Layers
Geographical Information Systems (GIS)
PostgreSQL
MVC
React Js
Design Patterns
Content Management Systems (CMS)
Perks:

Annual, Casual leave compensation
Annual Trips & Dinners
Event Activities
Five days a week job
Weekends off
One hour margin time relaxation
Coffee Tea & Snacks two times a day.
Growth Opportunity, Long Term Future Plan, Quarterly Performance Rewards, Annual Increments.
Challenging and a rewarding place to work with amazing peers, work ethics, culture, ,and perks.

Open Salary Package Depends on Exposure & Skills.
(Only Lahore-based candidates can apply)",https://www.linkedin.com/jobs/view/3136311500/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=vRvKb%2BAGfVHg1BKAAGPahg%3D%3D&trackingId=ThnVAiqCnfaLD4BtusSuzA%3D%3D&trk=flagship3_search_srp_jobs,Sr. PHP Laravel Developer,Kodex Technologies,10 hours ago,Full-time,"Lahore, Punjab, Pakistan"
7,7,"Posted by
Waseem Zubair
Senior Manager Operations at Gnomen Ltd
Send InMail
A leading UK-based software company has an opportunity for PHP developers to work on some major projects.

The PHP Developers will need solid knowledge of programming in PHP, relational databases and an understanding of software design fundamentals.
PHP Developers are expected to have experience with PHP, MySQL, HTML, CSS, JavaScript and Laravel framework.
Key skills required:

Strong Core PHP experience (at least 3 to 4 years experience)
Current experience using Laravel and MVC frameworks
Vue.js experience is a bonus
Strong understanding of JavaScript, HTML, CSS and jQuery
Strong understanding of API-based services and integrations (REST and SOAP)
Excellent communication and organization skills
The ideal PHP Developer will have a passion for programming and be able to work individually and within a team.
For the successful candidate, we offer a competitive package along with excellent career opportunities.",https://www.linkedin.com/jobs/view/3133942599/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=vRvKb%2BAGfVHg1BKAAGPahg%3D%3D&trackingId=fpjDviW%2FpTTMy4W8adGyXw%3D%3D&trk=flagship3_search_srp_jobs,Senior PHP (Laravel) Developer,Gnomen Ltd,10 hours ago,Full-time,"Lahore, Punjab, Pakistan"
8,8,"We are looking for a Junior PHP CodeIgniter/Laravel Developer with having a minimum of 2-3 years experience with the below underlying capabilities:

Bachelor's Degree in Computer Science or Software Engineering
Able to write well-designed, testable, efficient code by using best software development practices
Strong knowledge of PHP frameworks CodeIgniter/Laravel and should have at least 2+ years of proven experience in CodeIgniter
Strong OOP Concepts along with the ability of troubleshooting and bug fixing
Excellent Grip on JavaScript, JQuery, Bootstrap 4+, HTML5, CSS3
Working Knowledge of MYSQL/MariaDB
Fluent in the Creation & Consumption of APIs
Basic Knowledge of WebRTC and sockets to create real-time applications, especially video conferencing
Understanding the fully synchronous behavior of PHP
Proficient understanding of code versioning tools
Can communicate with team & have the ability to work remotely
Good to have knowledge of AWS solutions & DevOps
Fresh and junior resources eager to excel within open-source application development can also apply
If you fulfill the above qualities, then we are eager to hear from you",https://www.linkedin.com/jobs/view/3129190815/?eBP=JOB_SEARCH_ORGANIC&refId=vRvKb%2BAGfVHg1BKAAGPahg%3D%3D&trackingId=HAowLDMMusJ4ILAaplt%2BSg%3D%3D&trk=flagship3_search_srp_jobs,Mid-Level PHP Developer,F3 Technologies,5 hours ago,Full-time,"Rawalpindi, Punjab, Pakistan"
9,9,"Posted by
Junaid Hassan
HR & Payroll I HRBP | Talent Acquisition | Organizational Development Specialist | Technical Recruiter | Startup Expert | Employer Branding | Headhunter | Employee Relations I Employee Retention
Send InMail
Requirements:
Previous working experience as a Full Stack Developer.
User authentication and authorization between multiple systems, servers, and environments
Integration of multiple data sources and databases into one system
Familiarity with limitations of PHP as a platform and its workarounds
Proficient in PHP, HTML5, JavaScript, JQuery Expert
Experience with PHP MVC frameworks (Symfony, Kohana, CodeIgniter, Zend, etc.)
Hands-on Vue.js or React
Excellent relational database skills with MySQL
Experience with building restful JSON web services
Understanding of responsive design frameworks such as bootstrap

If you consider yourself to be:
1) A fast learner (it's not where you start but how fast you get to the finish line that we care about)
2) Clear communicator (someone quick at responding to inquiries and updates)
3) Talented (talented people want to work with other talented people, so if you got talent, join us)
Application Questions:
• Do you have minimum 3 years of working experience as a Backend developer (Core PHP & Laravel)?
• Do you have minimum 2 Years of working experience as a Frontend developer (Vue.JS)?
• Do you speak fluent English?
Job Type: Full-time, Permanent, Remote
Salary: Above Market Competitive",https://www.linkedin.com/jobs/view/3129950857/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=vRvKb%2BAGfVHg1BKAAGPahg%3D%3D&trackingId=m3xHu9Dh2XwGEDHMEClnow%3D%3D&trk=flagship3_search_srp_jobs,Full Stack Engineer,EZ-AD,1 hour ago,Full-time,Pakistan
